'tagfield','tagsubfield','name','repeatable','mandatory'
'653','1','Klassifikasjonskode.',0,0
'653','2','Kilde for emneinnførselen.',0,0
'653','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'653','9','Språk eller språkform',0,0
'655','a','Genre/form.',0,0
'655','v','Form underavdeling.',0,0
'655','w','Sorteringsdelfelt for delfelt $a.',0,0
'655','x','Underavdeling. (R)',1,0
'655','y','Kronologisk underavdeling. (R)',1,0
'655','z','Geografisk underavdeling. (R)',1,0
'655','0','Kvalifikator. (R)',1,0
'655','1','Klassifikasjonskode.',0,0
'655','2','Kilde for emneinnførselen.',0,0
'655','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'655','9','Språk eller språkform',0,0
'656','a','Emneord.',0,0
'656','v','Form underavdeling.',0,0
'656','x','Underavdeling. (R)',1,0
'656','y','Kronologisk underavdeling. (R)',1,0
'656','z','Geografisk underavdeling. (R)',1,0
'656','0','Kvalifikator. (R)',1,0
'656','1','Klassifikasjonskode.',0,0
'656','2','Kilde for emneinnførselen.',0,0
'656','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'656','9','Språk eller språkform',0,0
'658','a','Betegnelse for besetning. (R)',1,0
'658','b','Totalt antall instrumenter.',0,0
'658','w','Sorteringsdelfelt for delfelt $a.',0,0
'658','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'658','9','Språk eller språkform',0,0
'700','a','Navn.',0,0
'700','b','Nummer.',0,0
'700','c','Andre tilføyelser.',0,0
'700','d','Årstall forbundet med navn.',0,0
'700','e','Betegnelse for funksjon.',0,0
'700','h','Materialebetegnelse',0,0
'700','i','Serienummer, opusnummer, nummer fra verkfortegnelse.',0,0
'700','j','Nasjonalitet.',0,0
'700','k','Form',0,0
'700','l','Språk',0,0
'700','m','Besetning.(25.29) [Mus]',0,0
'700','n','Nummer for del av verk.',0,0
'700','o','Arrangement.(25.31B2) [Mus]',0,0
'700','p','Tittel for del av verk.',0,0
'700','q','Mer fullstendig navneform.',0,0
'700','r','Toneart. [Mus]',0,0
'700','t','Tittel i biinnførselen.',0,0
'700','u','Sorteringsdelfelt for delfelt $t.',0,0
'700','w','Sorteringsdelfelt for delfelt $a.',0,0
'700','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'700','8','Andre karakteristika forbundet med navn.',0,0
'710','a','Navn.',0,0
'710','b','Underavdeling',0,0
'710','c','Sted.',0,0
'710','d','Dato.',0,0
'710','e','Betegnelse for funksjon.',0,0
'710','g','Diverse opplysninger.',0,0
'710','h','Materialebetegnelse',0,0
'710','i','Serienummer, opusnummer, nummer fra verkfortegnelse.',0,0
'710','l','Språk',0,0
'710','m','Besetning.[Mus]',0,0
'710','n','Nummer',0,0
'710','o','Arrangement.[Mus]',0,0
'710','q','Forklarende tilføyelse ',0,0
'710','r','Toneart.(25.31A5) [Mus]',0,0
'710','t','Tittel i biinnførselen.',0,0
'710','u','Sorteringsdelfelt for delfelt $t.',0,0
'710','w','Sorteringsdelfelt for delfelt $a.',0,0
'710','7','Del av dokumentet som biinnførselen gjelder.',0,0
'711','a','Navn. (24.7, 24.8)',0,0
'711','c','Sted.',0,0
'711','d','Dato.',0,0
'711','g','Diverse opplysninger.',0,0
'711','h','Materialebetegnelse',0,0
'711','l','Språk',0,0
'711','n','Nummer',0,0
'711','q','Forklarende tilføyelse',0,0
'711','t','Tittel i biinnførselen.',0,0
'711','u','Sorteringsdelfelt for delfelt $t.',0,0
'711','w','Sorteringsdelfelt for delfelt $a.',0,0
'711','7','Del av dokumentet som biinnførselen gjelder.',0,0
'730','a','Standardtittel. (25)',0,0
'730','b','Underordnet enhet',0,0
'730','d','Årstall',0,0
'730','f','Utgivelsesår.',0,0
'730','h','Materialebetegnelse',0,0
'730','i','Serienummer, opusnummer, nummer fra verkfortegnelse.',0,0
'730','k','Form',0,0
'730','l','Språk',0,0
'730','m','Besetning(25.29) [Mus]',0,0
'730','n','Nummer for del av verk.',0,0
'730','o','Arrangement. (25.31B2) [Mus]',0,0
'730','p','Tittel for del av verk',0,0
'730','q','Forklarende tilføyelse',0,0
'730','r','Toneart [Mus]',0,0
'730','s','Versjon. (25.18A11)',0,0
'730','t','Tittel i biinnførselen.',0,0
'730','u','Sorteringsdelfelt for delfelt $t.',0,0
'730','w','Sorteringsdelfelt for delfelt $a.',0,0
'730','7','Del av dokumentet som biinnførselen gjelder.',0,0
'740','a','Tittel.(21.30J)',0,0
'740','e','Type tittel.',0,0
'740','h','Materialbetegnelse.',0,0
'740','n','Nummer for del av verk.',0,0
'740','p','Tittel for del av verk.',0,0
'740','w','Sorteringsdelfelt for delfelt $a.',0,0
'740','7','Del av dokumentet som biinnførselen gjelder.',0,0
'752','a','Land.',0,0
'752','b','Delstat eller fylke.',0,0
'752','c','Kommune.',0,0
'752','d','By, tettsted etc.',0,0
'753','a','Datamaskinfabrikat og -modell',0,0
'753','b','Programmeringsspråk',0,0
'753','c','Operativsystem',0,0
'760','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'760','b','Utgave.',0,0
'760','d','Sted, forlag og dato (år) for utgivelse.',0,0
'760','e','Språkkode.',0,0
'760','f','Landekode.',0,0
'760','g','Relasjonsopplysninger. (R)',1,0
'760','h','Materialbetegnelse.',0,0
'760','i','Årstall i "ren" form. (R)',1,0
'760','k','Serie. (R)',1,0
'760','s','Standardtittel',0,0
'760','t','Tittel',0,0
'760','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'760','x','ISSN',0,0
'760','y','CODEN',0,0
'760','z','ISBN',0,0
'760','7','Type hovedordningsord i delfelt $a',0,0
'762','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'762','b','Utgave.',0,0
